Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Malawi,2015,44th,Warning,4.8,7.7,5.4,8.6,8.4,8.1,6.9,7.8,6.2,8.8,6.1,8.1,6.09,1.32,0.616,0.719,0,0.719
Malaysia,2015,115th,Stable,6.8,6.5,6.2,3.6,5.3,4.5,6.9,4.7,7.2,5.8,4.2,4.2,7.16,0.58,0.818,0.911,2.96,0.911
Maldives,2015,91st,Warning,6.1,7.8,4.6,6.4,4.1,5.6,8.5,6.1,7.5,5.8,4.7,7,8,2.32,0.882,0.846,4.66,0.846
Mali,2015,30th,Warning,8.7,4.9,7.6,8.2,7.4,8.4,6,9,6.7,9.1,7.8,9.3,7.33,1.64,0.783,0.896,2.71,0.896
Malta,2015,151st,Stable,3.4,2,3.9,4.2,2.9,4,3.9,2.3,3.3,2.8,4.6,3.6,8.17,1.18,0.492,0.511,0,0.511
Mauritania,2015,26th,Warning,7.4,8.8,6.9,8,7.1,6.3,7.9,8.9,8,8.6,8.5,8.5,6.51,6.18,0.445,0.473,0,0.473
Mauritius,2015,145th,Stable,2.8,3.2,3.8,4.7,4.3,4.2,3.5,3.8,3.4,4.1,2.2,5.2,6.28,1.54,0.7,0.787,3.63,0.787
Mexico,2015,99th,Warning,8,5.1,6.4,4.6,6.6,5.8,5.9,6.8,6.5,6.2,4.4,5.5,7.47,0.98,0.561,0.701,0.47,0.701
Micronesia,2015,94th,Warning,5.1,5.6,4,8.1,8.4,9,6,5.7,3.1,7.1,3.2,8.3,7.68,0.78,0.312,0.438,0,0.438
Moldova,2015,96th,Stable,6.6,7.8,6.5,6.3,5.3,6.4,6.3,5.4,5.4,5.3,4.4,7.3,5.8,1.46,0.781,0.853,0,0.853
Mongolia,2015,129th,Stable,4,5.5,4.3,4.3,6.4,3.1,4.5,5.7,4.8,5.5,2.4,6.5,8.06,3.6,0.377,0.513,0.27,0.513
Montenegro,2015,132nd,Stable,4,6.3,7.3,4.6,2.9,3.6,4,3.6,4.2,3.3,4.5,5.9,6.31,1.98,0.725,0.779,0,0.779
Morocco,2015,89th,Warning,5.7,6.6,7.1,5.3,6.3,7.6,6.5,5.7,7,5.5,5.3,6,7.44,4.46,0.649,0.758,2.37,0.758
Mozambique,2015,46th,Warning,7,6.9,5.9,7.8,8.6,7.4,7.2,9,6.1,8.7,5,7.3,7.68,0.92,0.649,0.637,0,0.637
Myanmar,2015,27th,Warning,8.3,8.3,9.7,6.5,8.2,5.7,9,8.6,8.3,6.8,8.3,7,6.91,5.38,0.725,0.701,0,0.701
Namibia,2015,106th,Warning,4.9,3.5,5.9,7.1,8.1,6.5,3.8,7.3,4.3,7,5.5,6.9,7.16,0.62,0.738,0.733,3.04,0.733
Nepal,2015,35th,Warning,7,8.3,9.1,6.8,7.5,7,7.1,7.1,7.7,7.9,7.6,7.4,6.94,1.36,0.797,0.804,2.3,0.804
Netherlands,2015,166th,Sustainable,1.8,2.6,3.9,3.4,2.7,2.6,1,1.5,1,3,2.1,1.2,7.62,1.16,0.503,0.645,3.04,0.645
New Zealand,2015,172nd,Sustainable,1.1,1.1,4.1,3.9,2.8,2.1,0.5,1.9,1,1.9,1.1,1.1,7.4,1.12,0.366,0.414,0,0.414
Nicaragua,2015,72nd,Warning,5.6,6.8,6.5,6.2,7.9,8.1,7.3,7.2,5.3,6.2,4.6,7.3,5.51,0.54,0.41,0.552,0,0.552
Niger,2015,19th,Warning,8.7,8.9,7.5,8.2,8.4,6.9,7.5,9.3,6.8,9.6,7.9,8.1,6.59,0.96,0.546,0.637,1.45,0.637
Nigeria,2015,14th,Warning,9.9,9.8,9.9,7.6,8.8,7.1,9.1,9.1,8.8,8.8,7.5,6,6.48,0.7,0.475,0.555,4.41,0.555
North Korea,2015,29th,Warning,8.6,8.5,6.3,9,8,4.2,10,8.9,9.7,7.5,4.3,8.8,6.96,1.26,0.897,0.923,0,0.923
Norway,2015,176th,Sustainable,2.5,1.1,3.7,1.7,2,1.6,0.4,1.4,1.3,2,1.9,1.2,8.16,1.12,0.917,0.913,0,0.913
Oman,2015,135th,Stable,4.7,6.6,3,4.5,4.2,1.9,6.6,3.8,7.5,5,2,2.2,8.18,5.38,0.542,0.642,0,0.642
Pakistan,2015,13th,Warning,9.6,9.2,10,7.7,7.3,7,8.6,7.9,8.4,9,8.9,9.3,7.49,0.96,0.206,0.351,1.72,0.351
Panama,2015,131st,Stable,5.1,2.5,5.6,3.4,7.3,4,4,5.5,4.8,5.7,3.5,3.2,6.14,0.66,0.475,0.525,0,0.525
Papua New Guinea,2015,57th,Warning,6.9,7.1,6.3,6.2,9,7.1,6.9,8.7,6.6,7.3,4.6,6.7,5.28,1.2,0.916,0.948,0.19,0.948
Paraguay,2015,103rd,Warning,6.5,7.8,5.9,5.1,8.4,5.2,7.1,6.7,6.1,5.9,2.2,4.4,8.16,0.66,0.648,0.795,1.54,0.795
Peru,2015,98th,Warning,7.1,6.7,7.5,3.7,7.3,6.7,7.1,7.1,4.6,5.3,4.8,4,7.68,1.32,0.395,0.548,0,0.548
Philippines,2015,48th,Warning,9.1,8,8.3,6,6.2,6.2,7.5,7.2,5.9,8.2,7.4,6.3,6.62,1.8,0.808,0.783,0.04,0.783
Poland,2015,153rd,Stable,2.3,3.8,4.4,4.1,3.5,4.4,3.2,2.8,2.5,3.3,2.8,2.7,7.27,2.78,0.655,0.678,0,0.678
Portugal,2015,164th,Sustainable,1.6,1.8,2.6,5.1,2.9,2.2,1.8,2.7,2.3,2.6,1.6,2.5,7.29,0.04,0.691,0.785,2.58,0.785
