Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Turkmenistan,2015,78th,Warning,6.8,7.8,7.1,5,6.9,5.1,9.7,6.1,8.8,5.7,3.9,4.6,6.96,2.02,0.42,0.519,0.58,0.519
Uganda,2015,23rd,Warning,7.6,8.9,8.7,7,7.3,7.3,8,8.3,7.9,8.9,8.8,8.3,6.94,0.76,0.641,0.738,0.24,0.738
Ukraine,2015,84th,Warning,7.9,8,7,6.5,4.7,5.5,8.5,3.8,6.4,4.5,4.4,9.1,6.5,1.86,0.673,0.746,0.95,0.746
United Arab Emirates,2015,144th,Stable,3.1,3.6,3.9,2.9,4.2,2.5,6.6,2.7,7.1,4.5,2.2,2.9,7.44,0.76,0.494,0.603,3.09,0.603
United Kingdom,2015,161st,Sustainable,2.5,3.5,5.6,3.9,3.7,2.1,2,2.1,1.8,2.6,2.4,1.2,7.54,1.22,0.489,0.484,0.41,0.484
United States,2015,158th,Stable,2.8,4,5,2.8,4.8,1.5,2.4,2.1,3.7,3,2.1,1.1,6.82,1.26,0.766,0.718,0.08,0.718
Uruguay,2015,155th,Sustainable,3.7,2.7,3,3.2,4.2,4.4,1.4,3.4,2.2,3.5,1.9,2.9,5.97,1.32,0.717,0.779,0,0.779
Uzbekistan,2015,52nd,Warning,7.6,8.8,7.6,6.8,7,6.3,9.6,5.4,9.1,6.1,6,5.1,7.28,2.04,0.641,0.723,1.34,0.723
Venezuela,2015,74th,Warning,6.5,8.1,7.3,6.5,6.7,5.2,8.6,7.2,8.3,5.1,4.8,4.3,7.04,0.9,0.666,0.764,0,0.764
Vietnam,2015,97th,Warning,5.1,6.9,6.5,5.8,5.5,5.6,8.1,5.2,7.8,6.1,4.7,5.1,7.48,1.4,0.629,0.688,0.19,0.688
Yemen,2015,7th,Alert,10,9.4,9.4,9.3,8.1,7.5,9.3,8.2,9.1,9.2,9.1,9.5,7.53,0.38,0.462,0.488,3.57,0.488
Zambia,2015,53rd,Warning,5,5.7,5.7,7.7,8.6,7.8,7.4,7.6,6.8,9.4,6.9,6.6,6.56,3.28,0.803,0.748,1.07,0.748
Zimbabwe,2015,16th,Warning,7.9,9.7,7.8,8,8.1,8,9,8.5,8.3,8.7,8.4,7.6,5.85,1.92,0.681,0.836,0,0.836
