Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Mauritius,2014,145th,Stable,3.1,3.2,3.5,4.4,4.6,3.9,3.8,4.1,3.7,4.4,2.5,4.9
Mexico,2014,105th,Warning,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6,6.7,4.3,5.8
Micronesia,2014,91st,Warning,5.4,5.6,4.2,7.8,8.3,8.7,6.3,6,3.4,7.2,3.5,8.2
Moldova,2014,89th,Stable,6.9,7.8,6.2,6.6,5.6,6.6,6.6,5.4,5.7,5.6,4.7,7.4
Mongolia,2014,129th,Stable,4.3,5.5,4,4.6,6.5,2.8,4.8,6,5.1,5.8,2.5,6.2
Montenegro,2014,131st,Stable,4.3,6.3,7,4.9,3.2,3.3,4.3,3.9,4.5,3.6,4.8,5.6
Morocco,2014,92nd,Warning,6,6.6,6.8,5.6,6.6,7.3,6.6,5.9,6.5,5.7,5.6,5.2
Mozambique,2014,50th,Warning,6.6,6.6,5.4,8.1,8.3,7.4,7.5,8.7,6.4,8.9,4.9,7.1
Myanmar,2014,24th,Warning,8,8.6,9.3,7,8.1,5.3,9.3,8.3,8,7.3,8.2,6.9
Namibia,2014,103rd,Warning,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7,4.6,7.1,5.8,7.2
Nepal,2014,31st,Warning,7.3,8.3,9,7.1,7.8,6.2,7.6,7.4,7.6,7.8,7.6,7.3
Netherlands,2014,166th,Sustainable,2.1,2.6,4.1,3.7,2.4,2.4,1,1.8,1.2,3.3,2.4,1.6
New Zealand,2014,173rd,Sustainable,1.4,1.1,3.8,3.9,3.1,2.2,0.5,2.1,1.1,2.4,1.2,1.3
Nicaragua,2014,73rd,Warning,5.3,6.8,6.2,6.5,7.6,7.8,7.6,6.9,5.1,5.9,5.1,7.6
Niger,2014,19th,Warning,8.4,8.9,7.5,8.1,7.9,6.6,7.8,9.3,7.3,9.3,8.2,8.6
Nigeria,2014,17th,Warning,9.5,9.5,9.8,7.3,8.9,7,8.8,9,8.7,8.3,6.9,6
North Korea,2014,26th,Warning,8.5,8.2,6.6,9,8,4.4,9.9,9.2,9.6,7.5,4.7,8.4
Norway,2014,175th,Sustainable,2.8,1.1,3.7,2,1.7,1.9,0.5,1.7,1.6,2.3,2.2,1.5
Oman,2014,135th,Stable,5,6.6,2.7,4.8,3.9,2.1,6.4,4.1,7.4,5.3,2.3,2.5
Pakistan,2014,10th,Warning,9.9,9.5,10,7.5,7.6,6.9,8.5,7.6,8.6,8.8,8.8,9.3
Panama,2014,131st,Stable,4.8,2.5,5.3,3.7,7.6,4.2,4.6,5.2,4.7,5.6,4,3.5
Papua New Guinea,2014,57th,Warning,6.4,7.1,6.6,6.6,9.3,7.3,6.6,9,6.3,7.6,4.9,6.4
Paraguay,2014,102nd,Warning,6.2,7.8,6.2,5.4,8.7,4.9,7.4,6.4,6,5.8,2.7,4.1
Peru,2014,97th,Warning,6.7,6.7,7.3,4.2,7.5,6.4,7.4,6.7,4.8,5.8,5,4.4
Philippines,2014,52nd,Warning,8.8,8,8.3,5.7,6.3,5.9,7.3,6.9,6.4,7.8,7.7,6.2
Poland,2014,152nd,Stable,2.6,3.8,4.1,4,3.8,4.7,3.5,3.1,2.8,3.6,3.1,3
Portugal,2014,162nd,Sustainable,1.9,1.8,2.3,5.2,3.2,2.5,2.3,3.3,2.6,3.1,1.9,3
Qatar,2014,139th,Stable,2.8,5,4.9,2.9,5.1,3.4,6.2,2.3,5.9,4.6,2.1,3.7
Romania,2014,130th,Stable,3.8,5.2,6.6,5.7,5,4.4,6.1,4.6,4.2,4,3,4.3
Russia,2014,85th,Warning,8.6,8.1,8.5,3.6,6.7,4.8,7.6,5,8.7,5.4,5.2,4.3
Rwanda,2014,34th,Warning,5.9,8.2,8.5,6.7,7.9,7.2,6.5,7.5,7.8,8,8.2,8.1
Samoa,2014,110th,Stable,5.5,5.1,4.8,6.2,5.7,8.9,6,5.1,4.8,6.5,2.4,8.3
Sao Tome and Principe,2014,87th,Warning,5.8,6.3,4.8,8.1,6.6,8.2,6.6,6.2,4.1,6.9,4.6,7.6
Saudi Arabia,2014,96th,Warning,6.9,8,7.7,3.9,6.1,3.4,8.1,4,8.8,6,4.9,5.3
Senegal,2014,62nd,Warning,6.5,6.6,6.6,7,7,7.1,6,7.9,6.5,8.1,7.3,6.2
Serbia,2014,100th,Warning,6.2,8,8,6.4,5.6,5,5.8,4.4,5.2,4.2,6.5,6.7
