Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Laos,2016,55th,84.4,5.7,8.3,6.6,5.4,7.1,7.7,9.3,7.2,8.1,7.4,5.3,6.3,6.22,1.64,5.18,5.55,2.738,5.55
Latvia,2016,141st,47.4,3.2,4.3,7.7,3.7,4.3,4.5,3.6,3.1,2.8,3.1,3,4.1,6.62,0.32,5.9,5.88,0.267,5.88
Lebanon,2016,40th,89.6,8.9,9.3,8.7,6.1,5.8,5.1,7.8,5.9,7.4,5.8,9.5,9.3,7.05,1.96,8.67,9.01,3.083,9.01
Lesotho,2016,66th,80.9,5.9,7.3,4.1,8.2,7.6,7.7,6.1,8.3,4.7,8.2,4.8,8,8.21,1.42,6.11,8,1.349,8
Liberia,2016,27th,95.5,6.6,8.3,6,8.3,8.6,6.9,7,9.5,6.7,9.2,8.9,9.5,7.45,5.5,7.21,6.64,2.116,6.64
Libya,2016,25th,96.4,9.6,9.4,8.3,8,5.8,6.5,9.5,7.2,9.3,5.1,8,9.7,7.08,0.84,4.74,5.86,4.75,5.86
Lithuania,2016,149th,42.4,3.1,3,4.6,4.7,4.7,4.1,2.9,3.7,2.7,3,2.4,3.5,6.66,4.12,8.35,8.3,0.115,8.3
Luxembourg,2016,168th,24.1,1.9,3.4,3.1,1.2,1.7,1.8,1,2.3,1,1.7,3.7,1.3,7.43,1.9,6.56,7.63,1.381,7.63
Macedonia,2016,111th,67.0,5.7,7.3,7.1,6,5.4,5.2,6,4.1,4,3,7,6.2,7.95,1.18,5.03,4.97,4.871,4.97
Madagascar,2016,56th,84.2,7.3,7.8,4.3,7.8,8.8,6.4,7.3,9.3,5.8,8.8,3.6,7,5.01,0.44,4.23,4.27,2.125,4.27
Malawi,2016,44th,87.6,4.5,7.7,5.1,8.6,8.5,8.1,6.6,8.1,6.4,9.3,6.3,8.4,6.12,1.34,6.16,7.16,0,7.16
Malaysia,2016,115th,66.1,6.5,6.8,6.7,3.3,5.2,4.7,7.4,4.4,7.7,5.5,3.9,4,7.18,0.58,8.18,9.12,0,9.12
Maldives,2016,91st,74.0,6.6,8,4.8,6.1,3.8,5.9,8.7,5.8,7.7,5.5,4.4,6.7,8.02,2.36,8.82,8.48,0.305,8.48
Mali,2016,29th,95.2,9.2,5.2,7.9,7.9,7.6,8.7,6.3,9,7,8.7,8.1,9.6,7.35,1.7,7.83,8.98,0.076,8.98
Malta,2016,154th,39.6,3.3,2,3.9,4.2,2.8,3.9,3.8,2.2,3.2,2.7,4.1,3.5,8.19,1.08,4.92,5.12,1.516,5.12
Mauritania,2016,28th,95.4,7.1,8.8,7.2,7.9,7,6.6,8.2,9.2,8.1,8.9,8.2,8.2,6.55,6.22,4.45,4.76,0,4.76
Mauritius,2016,147th,43.2,2.5,3.2,3.8,4.2,4,4.1,3.2,3.5,3.6,3.8,2.4,4.9,6.39,1.58,7,7.89,2.207,7.89
Mexico,2016,107th,70.4,8,5.1,6.7,4.4,6.3,5.5,6.2,6.5,6.2,6.2,4.1,5.2,7.49,0.86,5.61,7.01,0,7.01
Micronesia,2016,80th,77.1,4.8,5.6,4,9,8.5,9.5,5.7,6.2,3.4,7.6,3.6,9.2,7.7,1,3.12,4.42,0.305,4.42
Moldova,2016,93rd,73.2,6.3,8.3,7,6.6,5,6.3,6.8,5.1,5.1,5,4.1,7.6,5.85,1.42,7.81,8.56,0.153,8.56
Mongolia,2016,128th,56.6,3.7,5.5,4,5,6.1,3,4.2,5.6,4.7,5.3,2.7,6.8,8.07,3.64,3.77,5.13,0,5.13
Montenegro,2016,131st,55.2,3.7,6.5,7.6,4.9,2.6,3.7,4.8,3.3,4.1,3,4.8,6.2,6.32,1.92,7.25,7.81,6.294,7.81
Morocco,2016,89th,74.2,5.4,6.6,7.4,5,6.4,7.9,6.8,5.4,7,5,5.6,5.7,7.46,4.46,6.55,7.62,6.662,7.62
Mozambique,2016,42nd,87.8,6.7,6.9,5.6,7.7,8.9,7.7,6.7,9.2,5.8,9.5,5.5,7.6,7.7,0.94,6.49,6.38,0,6.38
Myanmar,2016,26th,96.3,8.4,8.6,9.9,6.4,7.9,6,8.7,8.7,8.6,7.3,8.3,7.5,6.93,5.1,7.25,6.99,0,6.99
Namibia,2016,103rd,71.1,5.2,3.5,6,7,8.4,6.8,3.5,7.6,4,7.3,5.2,6.6,7.17,0.62,7.37,7.35,3.08,7.35
Nepal,2016,33rd,91.2,6.7,8.3,9.5,7,7.2,6.7,7.1,7.4,7.4,8.8,8,7.1,6.98,1.22,7.97,8.07,2.567,8.07
Netherlands,2016,166th,28.2,1.7,3.1,4.4,2.9,2.4,2.3,1.5,1.2,1.1,2.7,4,0.9,7.64,1.18,5.03,6.47,2.581,6.47
New Zealand,2016,176th,21.3,1.4,1.1,3.8,3.8,2.5,1.8,0.6,1.6,0.7,1.6,1.5,0.9,7.43,1.2,3.69,4.18,0.577,4.18
Nicaragua,2016,71st,79.0,5.7,7.1,6.7,5.9,8.2,8.3,7.6,6.9,5.4,5.5,4.2,7.5,5.55,0.56,4.1,5.56,0,5.56
Niger,2016,19th,98.4,8.9,8.9,7.7,8,8.2,7.2,7.8,9.2,6.7,9.5,8,8.3,6.61,1.16,5.46,6.4,0,6.4
