Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Swaziland,2016,44th,87.6,6,6.8,3.4,9.4,8.4,7.2,8.8,7.8,8.8,8.9,4.8,7.3,8.06,0.86,4.45,5.15,7.27,5.15
Sweden,2016,171st,22.6,1.8,1.8,1.7,2,1.5,1.2,1,1.3,1.3,2.2,5.5,1.3,6.81,2.46,7.05,6.66,6.207,6.66
Switzerland,2016,174th,21.8,1.3,1,3.8,2.5,2.4,1.8,1,1.1,2,1.7,2.2,1,5.57,2.18,2.97,4.18,0,4.18
Syria,2016,6th,110.8,10,9.9,10,7.8,7.4,8.6,10,8.9,9.8,8.4,10,10,5.77,0.64,8.18,8.84,0,8.84
Tajikistan,2016,57th,83.8,6.9,8.4,7.6,7.5,5.3,6.4,9.3,5.8,7.9,8.1,4.5,6.1,5.61,0.22,7.52,7.66,4.006,7.66
Tanzania,2016,62nd,81.8,5.2,6,5.4,6.4,7.3,7.3,6.1,8.8,6.1,8.9,6.9,7.4,8.28,5.38,3.18,4.9,3.467,4.9
Thailand,2016,74th,78.8,9.2,9.7,9,3.8,5.5,4.4,7.7,4.6,8.2,6.6,6.1,4,7.5,1,6.3,7.25,0.41,7.25
Timor-Leste,2016,35th,90.8,7.4,8.3,6.7,8.1,7,7.3,7.1,8.7,5.5,9.2,6.5,9,6.37,1.54,5.45,5.41,0,5.41
Togo,2016,51st,85.8,6.7,7.6,4.8,6.5,8.4,7.6,8,8.3,6.9,8,6.8,6.2,7.13,1.04,8.55,9.13,0,9.13
Trinidad and Tobago,2016,127th,57.8,6,5.6,4.4,4.6,5.1,7.8,4.7,4.5,4.3,4.7,2.8,3.3,4.89,0.76,8.91,9.39,4.231,9.39
Tunisia,2016,88th,74.6,7.9,7.8,7.9,6.9,5.1,5.8,6.7,4.6,6.7,4.4,4.2,6.6,8.23,2.96,4.17,5.36,4.077,5.36
Turkey,2016,79th,77.3,7.8,7.6,9.5,4.8,5.9,3.6,6.6,4.6,7.4,5.1,8.8,5.6,8.31,2.06,6.58,6.27,0,6.27
Turkmenistan,2016,83rd,76.0,6.5,7.8,6.8,5.1,6.9,4.8,9.8,5.8,8.9,5.6,3.7,4.3,6.97,2,4.41,5.31,0,5.31
Uganda,2016,23rd,97.7,7.3,8.9,9,6.7,7.6,7.6,8.3,8.5,8,8.7,9.1,8,6.96,0.72,6.41,7.4,1.869,7.4
Ukraine,2016,85th,75.5,7.8,8,6.9,7,4.4,5.4,8.4,3.9,6.2,4.4,4.3,8.8,6.55,1.98,6.73,7.48,3.979,7.48
United Arab Emirates,2016,145th,44.5,2.8,3.6,3.6,2.6,3.9,2.2,6.9,2.4,7.5,4.2,2.2,2.6,7.46,0.74,4.94,6.06,7.279,6.06
United Kingdom,2016,162nd,32.4,2.4,3.5,5.9,3.8,3.8,1.8,1.7,1.8,1.9,2.6,2.2,1,7.55,1.1,4.89,4.87,0,4.87
United States,2016,159th,34.0,2.9,4.3,5.1,2.5,4.5,1.4,2.1,1.8,3.4,3,2.1,0.9,6.85,1.06,7.66,7.21,3.697,7.21
Uruguay,2016,155th,36.2,3.5,2.7,2.7,3.3,4.3,4.1,1.1,3.1,2.5,4,2.2,2.7,6.02,1.46,7.17,7.8,5.98,7.8
Uzbekistan,2016,60th,83.5,7.3,8.8,7.3,6.5,7.1,6,9.7,5.1,9.4,5.8,5.7,4.8,7.3,2.02,6.43,7.25,0,7.25
Venezuela,2016,63rd,81.6,6.8,8.2,7.4,7,6.9,5.2,8.7,7.2,8.6,5.2,4.8,5.6,7.05,0.86,6.68,7.67,7.2,7.67
Vietnam,2016,106th,70.7,4.8,6.9,6.2,5.3,5.2,5.9,8.4,4.9,7.5,5.8,4.4,5.4,7.5,1.6,6.29,6.92,0,6.92
Yemen,2016,4th,111.5,10,9.5,9.5,9.4,8.4,7.5,9.4,9.3,9.4,9.5,9.6,10,7.55,0.42,4.67,4.93,2.139,4.93
Zambia,2016,49th,86.3,4.7,5.7,5.4,8.1,8.9,8.1,7.2,8.1,7.1,9.5,6.6,6.9,6.57,3.18,8.03,7.43,0,7.43
Zimbabwe,2016,16th,100.5,7.8,9.8,7.5,8.3,8.2,8.1,8.9,8.5,8.4,8.6,8.7,7.7,5.92,2.14,6.87,8.4,0,8.4
